domain,service,method,rpc_type,direction,payload_type,count,decoded_count,undecoded_count,first_seen,last_seen,payload_bytes_total,payload_bytes_min,payload_bytes_max
offers/economy,AppServer,DiscardPersonalOffer,REQUEST,out,Casino.EmptyRequest,1,1,0,2026-09-01T16:01:06.736,2026-09-01T16:01:06.736,0,0,0
offers/economy,AppServer,StartPersonalOffer,REQUEST,out,Casino.StartPersonalOfferRequest,1,1,0,2026-09-01T16:01:05.803,2026-09-01T16:01:05.803,1236,1236,1236
offers/economy,AppServer,StartPersonalOffer,RESPONSE,in,Casino.StartPersonalOfferResponse,1,1,0,2026-09-01T16:01:06.117,2026-09-01T16:01:06.117,2,2,2
offers/economy,AppServer,TriggerDirectPurchaseOffer,REQUEST,out,Casino.TriggerDirectPurchaseOfferRequest,1,1,0,2026-09-01T16:02:39.803,2026-09-01T16:02:39.803,1234,1234,1234
offers/economy,AppServer,TriggerDirectPurchaseOffer,RESPONSE,in,Casino.TriggerDirectPurchaseOfferResponse,1,1,0,2026-09-01T16:02:40.167,2026-09-01T16:02:40.167,2,2,2
other/unknown,AdventureClient,AdventureUpdate,REQUEST,in,Casino.AdventureUpdateRequest,1,1,0,2026-09-01T16:00:16.987,2026-09-01T16:00:16.987,2692,2692,2692
other/unknown,AdventureServer,AdventureGetActivePhase,REQUEST,out,Casino.AdventureActivePhaseRequest,1,1,0,2026-09-01T16:01:08.185,2026-09-01T16:01:08.185,2,2,2
other/unknown,AdventureServer,AdventureGetActivePhase,RESPONSE,in,Casino.AdventureActivePhaseResponse,1,1,0,2026-09-01T16:01:08.568,2026-09-01T16:01:08.568,1157,1157,1157
other/unknown,AppClient,AddDciEvent,REQUEST,in,Casino.AddDciEventRequest,78,78,0,2026-09-01T16:00:14.752,2026-09-01T16:43:19.622,322782,809,28036
other/unknown,AppClient,Handshake,REQUEST,in,Casino.HandshakeRequest,1,1,0,2026-09-01T16:00:13.718,2026-09-01T16:00:13.718,267,267,267
other/unknown,AppClient,Handshake,RESPONSE,out,Casino.HandshakeResponse,1,1,0,2026-09-01T16:00:13.756,2026-09-01T16:00:13.756,134,134,134
other/unknown,AppClient,LikeNotify,REQUEST,in,Casino.LikeNotifyRequest,9,9,0,2026-09-01T16:05:40.817,2026-09-01T16:26:14.049,114,12,14
other/unknown,AppClient,LogMessage,REQUEST,in,Casino.LogMessageRequest,1,1,0,2026-09-01T16:00:14.018,2026-09-01T16:00:14.018,193,193,193
other/unknown,AppClient,NotAcceptedUserCentricsTag,REQUEST,in,Casino.EmptyRequest,1,1,0,2026-09-01T16:00:16.348,2026-09-01T16:00:16.348,0,0,0
other/unknown,AppClient,SendAdditionalData,REQUEST,in,Casino.AdditionalDataRequest,295,295,0,2026-09-01T16:00:15.183,2026-09-01T16:43:22.734,52617,151,622
other/unknown,AppClient,SimpleRateUsInit,REQUEST,in,Casino.SimpleRateUsInitRequest,1,1,0,2026-09-01T16:00:16.318,2026-09-01T16:00:16.318,16,16,16
other/unknown,AppClient,UpdateAnnouncements,REQUEST,in,Casino.UpdateAnnouncementsRequest,1,1,0,2026-09-01T16:00:15.140,2026-09-01T16:00:15.140,7453,7453,7453
other/unknown,AppClient,UpdateAssignmentEvents,REQUEST,in,Casino.UpdateAssignmentEventsRequest,3,3,0,2026-09-01T16:00:17.045,2026-09-01T16:12:49.784,1455,485,485
other/unknown,AppClient,UpdateBets,REQUEST,in,Casino.UpdateBetsRequest,1,1,0,2026-09-01T16:00:16.981,2026-09-01T16:00:16.981,16,16,16
other/unknown,AppClient,UpdateExternalAuthMapping,REQUEST,in,Casino.UpdateExternalAuthMappingRequest,1,1,0,2026-09-01T16:00:16.296,2026-09-01T16:00:16.296,6,6,6
other/unknown,AppServer,,REQUEST,out,,13,0,13,2026-09-01T16:03:04.191,2026-09-01T16:41:59.252,100,6,17
other/unknown,AppServer,,RESPONSE,in,,13,0,13,2026-09-01T16:03:04.510,2026-09-01T16:41:59.582,130,8,23
other/unknown,AppServer,Connect,REQUEST,out,Casino.ConnectRequest,1,1,0,2026-09-01T16:00:12.879,2026-09-01T16:00:12.879,85,85,85
other/unknown,AppServer,Connect,RESPONSE,in,Casino.ConnectResponse,1,1,0,2026-09-01T16:00:13.710,2026-09-01T16:00:13.710,153,153,153
other/unknown,AppServer,FocusChange,REQUEST,out,Casino.FocusChangeRequest,1,1,0,2026-09-01T16:43:37.000,2026-09-01T16:43:37.000,2,2,2
other/unknown,AppServer,GetExtraItems,REQUEST,out,Casino.GetExtraItemsRequest,2,2,0,2026-09-01T16:13:41.746,2026-09-01T16:23:42.584,4,2,2
other/unknown,AppServer,GetExtraItems,RESPONSE,in,Casino.GetExtraItemsResponse,2,2,0,2026-09-01T16:13:42.001,2026-09-01T16:23:42.867,69,29,40
other/unknown,AppServer,GetFriends,REQUEST,out,Casino.EmptyRequest,2,2,0,2026-09-01T16:01:25.588,2026-09-01T16:01:27.070,0,0,0
other/unknown,AppServer,GetFriends,RESPONSE,in,Casino.GetFriendsResponse,2,2,0,2026-09-01T16:01:25.850,2026-09-01T16:01:27.350,4,2,2
other/unknown,AppServer,GetGamePlayerCount,REQUEST,out,Casino.GetGamePlayerCountRequest,3,3,0,2026-09-01T16:02:53.968,2026-09-01T16:03:02.186,228,73,82
other/unknown,AppServer,GetGamePlayerCount,RESPONSE,in,Casino.GetGamePlayerCountResponse,3,3,0,2026-09-01T16:02:54.384,2026-09-01T16:03:02.450,30,8,11
other/unknown,AppServer,LikePlayer,REQUEST,out,Casino.LikePlayerRequest,1,1,0,2026-09-01T16:06:14.769,2026-09-01T16:06:14.769,5,5,5
other/unknown,AppServer,LikePlayer,RESPONSE,in,Casino.LikePlayerResponse,1,1,0,2026-09-01T16:06:15.083,2026-09-01T16:06:15.083,8,8,8
other/unknown,AppServer,Login,REQUEST,out,Casino.LoginRequest,1,1,0,2026-09-01T16:00:14.270,2026-09-01T16:00:14.270,137,137,137
other/unknown,AppServer,Login,RESPONSE,in,Casino.LoginResponse,1,1,0,2026-09-01T16:00:15.754,2026-09-01T16:00:15.754,19377,19377,19377
other/unknown,AppServer,QueryGameFamily,REQUEST,out,Casino.QueryGameFamilyRequest,1,1,0,2026-09-01T16:01:43.771,2026-09-01T16:01:43.771,22,22,22
other/unknown,AppServer,QueryGameFamily,RESPONSE,in,Casino.QueryGameFamilyResponse,1,1,0,2026-09-01T16:01:44.535,2026-09-01T16:01:44.535,1787,1787,1787
other/unknown,AppServer,QueryPlayer,REQUEST,out,Casino.QueryPlayerRequest,3,3,0,2026-09-01T16:05:06.760,2026-09-01T16:06:16.050,15,5,5
other/unknown,AppServer,QueryPlayer,RESPONSE,in,Casino.QueryPlayerResponse,3,3,0,2026-09-01T16:05:07.099,2026-09-01T16:06:16.334,3634,1120,1257
other/unknown,AppServer,RegisterDevice,REQUEST,out,Casino.RegisterDeviceRequest,1,1,0,2026-09-01T16:00:20.909,2026-09-01T16:00:20.909,149,149,149
other/unknown,AppServer,RegisterDevice,RESPONSE,in,Casino.RegisterDeviceResponse,1,1,0,2026-09-01T16:00:21.167,2026-09-01T16:00:21.167,2,2,2
other/unknown,AppServer,ResetUserInactivity,REQUEST,out,Casino.ResetUserInactivityRequest,2974,2974,0,2026-09-01T16:01:04.852,2026-09-01T16:43:34.651,5948,2,2
other/unknown,AppServer,SimpleRateUsTriggered,REQUEST,out,Casino.SimpleRateUsTriggeredRequest,1,1,0,2026-09-01T16:07:18.136,2026-09-01T16:07:18.136,2,2,2
other/unknown,AppServer,SimpleRateUsTriggered,RESPONSE,in,Casino.SimpleRateUsTriggeredResponse,1,1,0,2026-09-01T16:07:18.400,2026-09-01T16:07:18.400,18,18,18
other/unknown,AppServer,TriggerAnnouncement,REQUEST,out,Casino.TriggerAnnouncementRequest,4,4,0,2026-09-01T16:00:20.540,2026-09-01T16:02:19.849,44,11,11
other/unknown,AppServer,TriggerAnnouncement,RESPONSE,in,Casino.TriggerAnnouncementResponse,4,4,0,2026-09-01T16:00:20.821,2026-09-01T16:02:20.112,8,2,2
other/unknown,AppServer,UpdateFacebookToken,REQUEST,out,Casino.UpdateFacebookTokenRequest,1,1,0,2026-09-01T16:00:15.997,2026-09-01T16:00:15.997,358,358,358
other/unknown,AppServer,UpdateFacebookToken,RESPONSE,in,Casino.UpdateFacebookTokenResponse,1,1,0,2026-09-01T16:00:17.415,2026-09-01T16:00:17.415,2,2,2
other/unknown,ContactPointClient,ContactPointUpdate,REQUEST,in,Casino.ContactPointUpdateRequest,1,1,0,2026-09-01T16:00:16.940,2026-09-01T16:00:16.940,68,68,68
passes/events,AppClient,BattlePassMissionProgressUpdate,REQUEST,in,Casino.BattlePassMissionProgressUpdateRequest,45,45,0,2026-09-01T16:03:17.853,2026-09-01T16:36:09.000,5952,80,273
passes/events,AppClient,BattlePassUpdate,REQUEST,in,Casino.BattlePassUpdateRequest,1,1,0,2026-09-01T16:00:17.218,2026-09-01T16:00:17.218,10877,10877,10877
passes/events,AppClient,VaultProgressUpdate,REQUEST,in,Casino.VaultProgressUpdateRequest,602,602,0,2026-09-01T16:12:44.042,2026-09-01T16:43:35.018,14673,24,49
passes/events,AppClient,VaultUpdate,REQUEST,in,Casino.VaultUpdateRequest,5,5,0,2026-09-01T16:00:15.068,2026-09-01T16:12:49.652,1665,329,339
slots,AppServer,GetJackpotValues,REQUEST,out,Casino.GetJackpotValuesRequest,27,27,0,2026-09-01T16:00:20.175,2026-09-01T16:02:57.222,20975,5,5815
slots,AppServer,GetJackpotValues,RESPONSE,in,Casino.GetJackpotValuesResponse,27,27,0,2026-09-01T16:00:20.452,2026-09-01T16:02:57.500,86837,20,24078
slots,AppServer,GetPlayerList,REQUEST,out,Casino.GetPlayerListRequest,25,25,0,2026-09-01T16:00:20.487,2026-09-01T16:03:01.250,100,4,4
slots,AppServer,GetPlayerList,RESPONSE,in,Casino.GetPlayerListResponse,25,25,0,2026-09-01T16:00:20.769,2026-09-01T16:03:01.517,1419,5,436
slots,AppServer,JoinGame,REQUEST,out,Casino.JoinGameRequest,2,2,0,2026-09-01T16:01:14.209,2026-09-01T16:03:03.111,110,47,63
slots,AppServer,JoinGame,RESPONSE,in,Casino.JoinGameResponse,2,2,0,2026-09-01T16:01:14.499,2026-09-01T16:03:03.418,8,4,4
slots,AppServer,LeaveGame,REQUEST,out,Casino.EmptyRequest,1,1,0,2026-09-01T16:01:34.470,2026-09-01T16:01:34.470,0,0,0
slots,AppServer,LeaveGame,RESPONSE,in,Casino.LeaveGameResponse,1,1,0,2026-09-01T16:01:34.767,2026-09-01T16:01:34.767,2,2,2
slots,AppServer,ListGames,REQUEST,out,Casino.ListGamesRequest,1,1,0,2026-09-01T16:01:35.387,2026-09-01T16:01:35.387,2,2,2
slots,AppServer,ListGames,RESPONSE,in,Casino.ListGamesResponse,1,1,0,2026-09-01T16:01:41.719,2026-09-01T16:01:41.719,662868,662868,662868
slots,AppServer,QueryGame,REQUEST,out,Casino.QueryGameRequest,4,4,0,2026-09-01T16:00:19.757,2026-09-01T16:03:02.419,80,11,29
slots,AppServer,QueryGame,RESPONSE,in,Casino.QueryGameResponse,4,4,0,2026-09-01T16:00:20.105,2026-09-01T16:03:02.684,1819,377,520
slots,AppServer,QueryGamePlayer,REQUEST,out,Casino.QueryGamePlayerRequest,19,19,0,2026-09-01T16:03:04.359,2026-09-01T16:41:59.254,104,4,15
slots,AppServer,QueryGamePlayer,RESPONSE,in,Casino.QueryGamePlayerResponse,19,19,0,2026-09-01T16:03:04.644,2026-09-01T16:41:59.566,978,35,147
slots,SlotsGameClient,RoomUsers,REQUEST,in,Casino.SlotsProto.UserList,1493,1493,0,2026-09-01T16:03:03.400,2026-09-01T16:43:36.338,40427,6,80
slots,SlotsGameClient,UpdateJackpot,REQUEST,in,Casino.SlotsProto.JackpotList,5,5,0,2026-09-01T16:01:14.483,2026-09-01T16:01:32.756,110,22,22
slots,SlotsGameServer,FreeSpin,REQUEST,out,Casino.EmptyRequest,107,107,0,2026-09-01T16:05:37.008,2026-09-01T16:39:24.401,0,0,0
slots,SlotsGameServer,FreeSpin,RESPONSE,in,Casino.SlotsProto.SpinResponse,107,107,0,2026-09-01T16:05:37.325,2026-09-01T16:39:24.766,3408,31,34
slots,SlotsGameServer,Spin,REQUEST,out,Casino.SlotsProto.SpinRequest,645,645,0,2026-09-01T16:03:11.436,2026-09-01T16:43:34.671,6450,10,10
slots,SlotsGameServer,Spin,RESPONSE,in,Casino.SlotsProto.SpinResponse,645,645,0,2026-09-01T16:03:11.705,2026-09-01T16:43:34.983,20169,31,51
